Material Type,Cost,Strength,Durability,Environmental Impact,Recyclability,Sustainability Rating
Wood,479.0742024579497,90.67186165979946,5,Low,Yes,High
Steel,799.9401836020929,26.66276335969662,18,Low,Yes,High
Steel,185.96460619301342,56.14045999552934,6,Medium,No,Medium
Steel,915.6478450111902,20.049381565119656,25,High,No,Low
Concrete,487.95950269291404,58.21626108133556,40,High,Yes,Low
Wood,865.638466487214,41.11452969996563,20,High,No,Low
Wood,209.638916963878,16.314979629795083,15,High,Yes,Low
Concrete,1197.7450283185674,88.09145486217196,16,High,No,Low
Wood,1335.3813429779275,45.319539481214285,45,Medium,Yes,Medium
Concrete,761.1036136657118,80.08873904034874,14,High,No,Low
Wood,1240.1935135796457,23.68632335267076,20,Medium,Yes,Medium
Steel,636.3683087545553,78.10998804203084,31,Low,Yes,High
Concrete,1484.1080380278406,92.43932962393039,9,Low,No,Low
Concrete,1432.4437397039924,98.40075103350048,27,Medium,No,Medium
Concrete,962.3989743702443,35.176089594633076,17,Medium,No,Medium
Concrete,299.7106926714579,79.4052703122863,38,High,Yes,Low
Concrete,461.7588202588526,43.14263534640753,25,High,Yes,Low
Wood,965.7560923790476,50.22054615381898,11,Medium,No,Medium
Wood,692.3800346691485,11.490019387088195,39,Medium,No,Medium
Steel,277.9581538740565,85.11870489566728,39,High,No,Low
Wood,611.0458549520492,51.890447246611195,44,Medium,Yes,Medium
Steel,1061.4011746858482,43.331476686824345,39,Medium,No,Medium
Wood,1371.881395703306,92.40771497778367,9,High,No,Low
Concrete,249.37772125606398,25.857807058991742,14,Medium,No,Medium
Wood,1050.7819930150818,81.96953988598668,28,High,No,Low
Steel,1016.7807511323655,56.795231907202464,34,High,No,Low
Concrete,557.5242684182833,34.50719057156448,22,Low,No,Low
Concrete,1212.9366069384291,15.966855062557165,38,High,No,Low
Wood,517.8957550044437,61.14330752979984,35,High,Yes,Low
Steel,1224.470877317972,76.9450075200681,15,Low,No,Low
Wood,978.1816260385465,88.84901024920491,5,Medium,No,Medium
Steel,345.9648769707445,28.444639263808437,11,Low,Yes,High
Steel,1399.6186761293066,24.820262506446706,39,Medium,No,Medium
Wood,886.3841195296433,31.26156750822505,40,Medium,No,Medium
Steel,316.7631335931819,46.34808802430074,45,Low,No,Low
Steel,1003.577716084503,11.091907341751027,33,Medium,No,Medium
Wood,259.08466192071603,61.19534981464573,47,High,No,Low
Concrete,266.8094358150206,91.49585800400155,20,Medium,No,Medium
Wood,315.7233037058001,25.166647072477772,34,Medium,Yes,Medium
Concrete,193.41167674643555,64.78898708025284,13,High,No,Low
Steel,1342.9284217718982,12.60132271019403,26,High,No,Low
Concrete,1102.3869223566783,54.08315071706094,48,Medium,No,Medium
Wood,332.8513109132708,36.68957991145334,15,High,Yes,Low
Concrete,1487.7333535948908,30.62633128203578,5,Low,No,Low
Concrete,504.66722041210045,69.46805839780822,33,Medium,Yes,Medium
Concrete,483.87488704928,83.1176317730502,45,High,No,Low
Wood,216.35878263986893,83.41807020879989,42,High,No,Low
Steel,643.5573719451968,50.464937391907704,18,Medium,No,Medium
Steel,1089.7555028960824,31.561638622801865,13,High,Yes,Low
Wood,821.3160340452198,11.815077724493952,36,High,Yes,Low
Concrete,167.05063368897032,98.11958805950329,8,Medium,No,Medium
Concrete,645.0459608991101,64.13422083098735,25,High,Yes,Low
Steel,330.39119601122275,13.686345223035275,28,Medium,Yes,Medium
Concrete,276.7555839967462,39.6044253872916,45,Low,No,Low
Concrete,753.8637500868508,30.87865815741594,35,High,Yes,Low
Concrete,373.21002992470335,53.55298092705198,13,High,No,Low
Steel,233.04206282111863,85.01577704378313,34,Low,Yes,High
Wood,205.09178525903695,54.17730432399047,40,Low,Yes,High
Steel,469.2506249194654,68.55630685903844,13,High,No,Low
Concrete,1159.0526857924028,96.50112288099596,18,Low,Yes,High
Steel,1060.2939854447575,88.85915294564086,10,Medium,No,Medium
Concrete,469.28251655682,39.58781134898709,8,Medium,No,Medium
Steel,476.90209715980416,58.296469719889274,40,High,No,Low
Wood,1329.4863210090514,21.421547679298826,7,Low,Yes,High
Concrete,649.6446009562376,54.695798348776286,48,Medium,No,Medium
Concrete,330.10712791421867,28.125482884270447,45,High,Yes,Low
Wood,551.1869993973418,86.59138168314543,33,Low,Yes,High
Wood,186.11003670232068,29.203039108657684,13,Medium,Yes,Medium
Steel,342.04021992158175,60.62732146926298,9,Medium,Yes,Medium
Concrete,1404.6320911338632,24.45271937605522,32,Low,Yes,High
Concrete,1246.5483031890235,51.14925573158544,21,Low,Yes,High
Concrete,724.319779975724,81.15075231368121,5,High,No,Low
Wood,864.7728505841355,51.316372300212,16,High,No,Low
Steel,1057.2877701285288,42.74833278010234,29,High,Yes,Low
Wood,1150.3917847985945,57.295260790665154,22,Low,No,Low
Concrete,1137.1230682839844,79.62817928831272,44,High,Yes,Low
Concrete,300.0214048479661,59.93058019079831,34,High,Yes,Low
Concrete,1435.1017757249379,85.43213816063009,41,High,Yes,Low
Concrete,1100.3547162563625,39.0215121277232,49,High,No,Low
Steel,1373.9673374821655,82.84595649287454,23,Medium,No,Medium
Concrete,662.0969496556557,80.6832350486136,46,Medium,No,Medium
Steel,1277.975272126375,42.28537343504858,39,High,Yes,Low
Steel,513.0475519636482,45.08276415575607,27,High,Yes,Low
Steel,711.615651007273,83.03144036801767,17,Low,No,Low
Steel,368.9584681718585,65.41811454959692,35,Medium,Yes,Medium
Concrete,1337.150083109553,64.7457047555072,15,High,Yes,Low
Wood,1405.8281587533954,55.32050731098709,47,Low,No,Low
Wood,1154.624931963012,64.93702284543903,15,High,Yes,Low
Wood,1333.2115595300468,93.2321432232606,9,Low,Yes,High
Wood,293.40433388258793,48.223815087195625,32,Medium,No,Medium
Steel,1420.6291678127557,73.40586872366129,15,High,Yes,Low
Steel,477.16758840835286,98.08100038858579,11,High,No,Low
Wood,330.27619875503353,33.87870938533257,22,Medium,No,Medium
Steel,1126.914158641013,99.81563288917556,5,High,No,Low
Steel,633.4717915467904,42.38345158092314,37,High,Yes,Low
Concrete,790.5000484351949,99.79795289405872,40,Low,No,Low
Wood,833.2276126729256,93.70961129251434,27,High,Yes,Low
Steel,1031.4086568488315,74.7836096185696,8,Low,No,Low
Steel,1121.1014238374873,93.28699197553337,44,High,Yes,Low
Concrete,1000.0644099285971,86.26746171254521,14,High,No,Low
Steel,463.8687602259159,60.730762051547046,36,High,Yes,Low
Steel,1475.493367477025,28.350477130508903,21,Medium,No,Medium
Wood,1191.6853610572334,71.0639544213405,15,Medium,No,Medium
Concrete,858.8249193140009,29.065735082253184,16,High,Yes,Low
Concrete,1100.6547722343348,38.9560016710011,13,Medium,Yes,Medium
Wood,1430.2886350618812,35.764791425419034,38,High,No,Low
Wood,1410.1710108268005,42.606100648284034,12,Low,No,Low
Concrete,324.7263839386393,78.7434089783004,22,Low,No,Low
Wood,1050.3060542513358,73.79408453206239,40,Low,No,Low
Steel,772.2804908416463,70.91483758297372,31,High,No,Low
Steel,1202.9051360863955,26.94346509773582,37,High,No,Low
Steel,669.8262548583812,19.23962628130824,23,Low,Yes,High
Wood,1133.3012259322873,72.94320366195217,40,Low,No,Low
Wood,614.9902357436008,66.56670966547046,8,High,No,Low
Concrete,906.9770690371577,42.006654372299614,15,Medium,No,Medium
Wood,428.65486633630337,39.631828983490095,46,Low,No,Low
Concrete,572.3619069760609,45.16473966415968,47,High,No,Low
Wood,989.4501905462974,83.51570823022519,29,Low,Yes,High
Concrete,1270.4357485079274,97.97782807834314,9,Medium,Yes,Medium
Concrete,990.2324429990406,18.696474952558006,10,High,No,Low
Concrete,866.8307819465422,32.26339882889262,29,High,No,Low
Concrete,1421.5755213818788,50.29040849196532,42,Low,No,Low
Wood,234.49341624744258,61.996364321238644,48,High,No,Low
Concrete,735.8206546087803,29.635277361898893,40,Medium,No,Medium
Wood,620.5550926991489,28.815469908195823,36,High,No,Low
Wood,985.5414051411175,29.108887979982846,34,Low,Yes,High
Steel,1181.7274198520784,80.0874813159902,42,High,No,Low
Wood,715.8131403346504,31.30692224415869,8,High,No,Low
Steel,450.5158337611834,29.1453051879585,22,Low,Yes,High
Steel,953.2574621397279,23.984281783902475,41,Medium,Yes,Medium
Concrete,1308.9688636947162,53.93000235422293,42,Medium,Yes,Medium
Wood,1433.044438743325,22.46428644392273,48,Medium,Yes,Medium
Wood,320.94138563799834,14.53668064914154,17,Low,Yes,High
Steel,465.6114889993968,12.775597833534171,30,Low,No,Low
Concrete,1433.247422884046,20.374380448256016,35,High,Yes,Low
Wood,1344.2224308654625,92.43797578325926,33,Medium,No,Medium
Concrete,862.4336676719565,99.33704377752902,34,Medium,No,Medium
Steel,375.636624603448,65.87573133570835,9,High,Yes,Low
Concrete,704.3565373865864,85.47483970909502,8,High,No,Low
Steel,221.42307434856235,60.77115490683412,8,Medium,Yes,Medium
Wood,1376.4350884569214,65.78649893404703,32,High,Yes,Low
Concrete,236.15516996777632,54.006946874618194,36,Medium,No,Medium
Wood,651.6764511804207,66.62642053028567,22,High,No,Low
Concrete,1177.0927671123309,66.71914776824451,40,Medium,Yes,Medium
Wood,668.494131533486,48.51405895157932,42,Medium,No,Medium
Concrete,710.4337363839937,40.715765766431566,44,High,Yes,Low
Wood,1428.906877092537,54.422813037454105,40,Medium,Yes,Medium
Concrete,429.04073124798,89.83001539419057,49,Low,No,Low
Steel,982.3435042186547,60.361862524060314,28,Medium,Yes,Medium
Concrete,1244.7398363856319,12.528714377168525,29,Medium,Yes,Medium
Steel,1151.4340342980463,14.522121320938233,25,High,No,Low
Wood,732.9728135172304,63.57862833368875,45,Medium,Yes,Medium
Wood,597.370997807496,30.519921780085443,22,Medium,No,Medium
Steel,1229.3363265515973,28.750395101154705,21,High,Yes,Low
Concrete,723.7954194299466,14.768062211598803,43,Low,Yes,High
Concrete,1462.1808466748691,22.603271624128702,22,Low,Yes,High
Concrete,552.3160562885791,92.4635696965126,26,High,No,Low
Wood,1059.9165326605985,39.636043082996366,30,Medium,Yes,Medium
Wood,1053.0736175059417,85.63867071856066,46,High,Yes,Low
Steel,885.2069549966753,12.299273439235996,30,High,Yes,Low
Concrete,1431.7182744886957,34.51835392233442,26,Low,Yes,High
Concrete,1156.100107530793,47.9663299038385,21,High,Yes,Low
Concrete,1290.0543321714426,74.60008872127798,32,High,Yes,Low
Wood,1029.033045575372,76.26181678164343,17,Low,Yes,High
Steel,259.8802484100388,48.11130267737048,49,Low,Yes,High
Concrete,390.8973927054783,42.42639720459666,41,Low,No,Low
Concrete,666.8734968834896,60.647689470652516,32,High,No,Low
Wood,1359.802133859152,21.294536422916174,41,Low,Yes,High
Concrete,878.3786591145994,35.411994892703504,42,High,Yes,Low
Steel,1116.5925982052563,71.15732088644931,39,Medium,No,Medium
Concrete,550.3102800638987,64.76430283621625,5,High,Yes,Low
Wood,409.2812513328045,45.481971160538414,12,High,No,Low
Steel,1478.3244408432429,90.92084658668911,12,Medium,No,Medium
Wood,683.5414886010236,31.05353462505478,45,Medium,No,Medium
Concrete,1154.708279778166,99.57601386649856,21,Medium,No,Medium
Steel,207.40124236414235,24.731073770247153,9,High,Yes,Low
Steel,233.79233880002914,50.68162665777366,13,Medium,Yes,Medium
Wood,1388.1100637841535,17.0715620472552,7,High,Yes,Low
Wood,638.3845538656478,61.04937070072429,48,Low,No,Low
Wood,774.9339983985325,72.30791633203333,33,Low,Yes,High
Concrete,334.8614902996746,73.34023568358847,29,Medium,No,Medium
Concrete,760.423597122309,15.981028073682863,43,Medium,Yes,Medium
Concrete,1111.602353860543,75.38063954890255,31,Medium,No,Medium
Wood,898.8790650391413,59.32823095842715,11,Low,Yes,High
Wood,606.6025991496485,33.72017288719765,12,High,No,Low
Wood,1433.2293276749358,15.683116991989406,8,High,Yes,Low
Concrete,1241.3291792409675,40.69608154396886,5,Low,No,Low
Wood,1481.1468783494595,48.287905235333966,48,Low,No,Low
Concrete,784.4590477921282,70.93266622082412,39,Low,Yes,High
Wood,362.2740192228972,40.38910820228753,23,Medium,Yes,Medium
Wood,1425.25774792635,19.581640387165123,32,Medium,No,Medium
Steel,715.3210785794728,69.94591143096754,31,Medium,No,Medium
Steel,341.76313444908425,59.99829400641729,19,Medium,No,Medium
Steel,1252.6944246314545,81.7462791812255,7,Medium,No,Medium
Wood,989.5590570149566,87.84448217724938,18,Medium,No,Medium
Steel,424.1966834984161,90.5040735067443,18,Low,Yes,High
Concrete,227.93018903320663,15.09559983772034,21,High,Yes,Low
Wood,1202.7574937945458,40.72042087085315,6,Low,Yes,High
Wood,512.1578846870465,99.17592048184503,28,Medium,Yes,Medium
Concrete,913.6427791180397,57.00126307670574,17,Medium,Yes,Medium
Wood,1214.846115297425,38.014159642833754,25,High,Yes,Low
Steel,751.0460453845029,98.28888582328483,33,High,No,Low
Wood,903.5377075626454,16.31821781114936,11,Low,Yes,High
Wood,1200.7936320824103,54.204955637775775,45,High,No,Low
Concrete,472.10318830996925,59.19195035246574,6,Medium,Yes,Medium
Wood,1461.2263458426683,75.92764546595423,29,Medium,Yes,Medium
Concrete,679.4890614885785,70.3860182913237,17,Low,No,Low
Wood,950.4328622916308,29.602730782083448,34,High,Yes,Low
Steel,413.1916030411655,46.94401570945548,16,Medium,Yes,Medium
Steel,810.424075153728,42.19114348407311,26,Low,No,Low
Concrete,790.6635937031508,79.55078387880556,7,Low,No,Low
Steel,418.8338855416726,30.95270304943534,40,Medium,Yes,Medium
Steel,1247.5147701068647,13.22836645584921,8,High,No,Low
Concrete,621.2239236957246,91.83355215033032,42,Low,No,Low
Concrete,1272.807480023782,58.77967746888716,26,High,Yes,Low
Steel,1052.7300115680828,62.465710701441374,39,Medium,No,Medium
Steel,840.7157778493803,13.217344856738809,7,Medium,Yes,Medium
Concrete,203.59075771672312,45.00856047252515,18,High,No,Low
Steel,273.45531215710935,43.20761466338958,21,Medium,Yes,Medium
Concrete,578.2352511808886,93.88950930105489,48,Medium,No,Medium
Wood,240.6590298375159,85.50935914734568,47,High,No,Low
Concrete,154.42447584908678,60.21775946816623,22,Low,Yes,High
Concrete,1016.0152948728432,89.76158152749974,37,Medium,Yes,Medium
Concrete,163.85782984732327,81.04562988752922,46,Low,Yes,High
Wood,1395.6490298635981,62.368206801600074,38,Medium,Yes,Medium
Wood,1300.7420259841895,43.96190005608158,45,High,No,Low
Concrete,293.74043647899606,62.17359348303567,27,Low,No,Low
Concrete,1159.6349774046787,96.89372669736747,40,Medium,Yes,Medium
Wood,347.13100665014707,76.28684549482462,46,High,No,Low
Wood,458.6023431050516,76.07513900215366,23,High,No,Low
Concrete,1031.1698335496962,35.595006247561855,34,Medium,Yes,Medium
Concrete,1301.004888145046,59.834074542139156,10,Low,Yes,High
Concrete,396.27570041215995,49.10153925771244,35,Low,Yes,High
Steel,627.9636742122963,30.711668851291822,40,High,No,Low
Wood,1120.1303656265627,44.130279022284725,18,Medium,Yes,Medium
Steel,311.7581808382797,56.686033445624105,25,High,Yes,Low
Concrete,629.7023574261427,22.702178170363712,37,Low,No,Low
Steel,1368.4117073316256,55.35337721966923,23,Low,No,Low
Wood,1080.7763752713872,17.50154847462482,36,Low,Yes,High
Concrete,1206.0849031370572,43.73395282041874,24,High,No,Low
Concrete,1204.1117866689353,85.38981953044849,36,High,No,Low
Concrete,432.2011609737555,24.758673890108447,47,Medium,Yes,Medium
Concrete,889.3283562922863,73.21595749799451,5,High,Yes,Low
Steel,950.6734134187459,36.18501269012384,41,High,Yes,Low
Concrete,948.8382177351668,88.5852493024084,12,Low,Yes,High
Concrete,426.91082216814664,78.16061906139436,26,Low,No,Low
Steel,547.6875299399599,41.90763087860644,37,Low,Yes,High
Wood,1209.405058953908,13.369910581696224,26,High,No,Low
Concrete,691.7594313626115,74.69670232390939,36,Medium,Yes,Medium
Concrete,729.7505426059556,28.65780130773158,42,Low,Yes,High
Concrete,1024.6519549959403,19.475745059414567,43,High,Yes,Low
Steel,711.0414624490907,94.79544367471081,45,High,No,Low
Concrete,1398.5791846171987,82.9024404867542,9,Low,Yes,High
Steel,833.5043685208087,98.14347248577538,25,High,No,Low
Wood,362.84776082953556,93.17727445614965,16,Medium,No,Medium
